data_source_id,clinic_id_source,clinic_id_reference
3,WESTCHESTE,65
3,WELLESLEY,216
3,RVC,48
3,MIDDLEISL,38
3,WHARTFORD,66
3,SHILLINGTO,207
3,MARLTON,237
3,GIBBSBORO,234
3,EDGEWATER,209
3,BOONSBORO,210
3,WHITESTONE,68
3,RIVERHEAD,47
3,SMITHTOWN,52
3,JAMESPORT,30
3,WARMINSTER,62
3,BOSTON,215
3,WESTSENEC,241
3,HICKSVILLE,26
3,HERALDSQ,25
3,ENC_BRICK,8
3,GARDENCITY,22
3,STATENISLD,55
3,NEWCITY,41
3,DANBURY,16
3,5THAVENUE,2
3,CHERRYHILL,233
3,AMHERST,239
3,MIDDLETOWN,211
3,AMITYVILLE,4
3,MOUNTAINSD,40
3,SEWELL,49
3,SOUDERTOLD,54
3,ALLERTON,3
3,ENDOCOMMAC,14
3,NEWWINDSOR,42
3,BRKHEIGHTS,9
3,YONKERS,71
3,WILMINGTON,69
3,SMITHTO_OS,206
3,HADDONHEIG,235
3,BUFFALO,240
3,GREENPOINT,24
3,COMMACK,13
3,MASSAPEQUA,34
3,FISHKILL,21
3,WHITEPLAIN,67
3,ENC_LACEY,31
3,ENC_TOMS,58
3,WASHSQPARK,63
3,EASTMEADOW,18
3,CROMWELL,15
3,BLACKWOOD,238
3,WOODSIDE,70
3,WANTAGH,61
1,1007395|~|2,243
1,1007396|~|2,243
1,1007456|~|2,246
1,1007466|~|2,251
1,1007467|~|2,254
1,1007468|~|2,248
1,1007469|~|2,250
1,1007470|~|2,249
1,1007471|~|2,251
1,1007472|~|2,254
1,1007473|~|2,248
1,1007474|~|2,250
1,1007475|~|2,249
1,1007486|~|2,246
1,1007489|~|2,253
1,1007525|~|2,253
1,1007533|~|2,256
1,1007548|~|2,256
1,1007553|~|2,244
1,1007563|~|2,244
1,1007626|~|2,245
1,1007627|~|2,245
1,1007628|~|2,252
1,1007629|~|2,252
1,1007630|~|2,255
1,1007631|~|2,255
1,1007632|~|2,247
1,1007633|~|2,247
